TIME,INT,EXT,TDS,SAL,COND,BATT
774,-1,81.5,-1,0,-1,3.45
775,85.1,81.5,-1,0,-1,3.44
776,81.5,79.7,13,0,24.45,3.47
777,82.4,78.8,13,0,23.66,3.44
778,82.4,78.8,13,0,24.31,3.44
779,82.4,79.7,52,0,97.08,3.45
780,82.4,79.7,54,0,100.2,3.46
781,82.4,79.7,54,0,100.8,3.44
782,82.4,79.7,18,0,33.45,3.46
783,82.4,80.6,18,0,33.12,3.43
784,82.4,79.7,18,0,32.78,3.43
785,82.4,79.7,18,0,32.78,3.42
786,82.4,77.9,72,0,133.1,3.42
787,82.4,77.9,72,0,133.8,3.43
788,82.4,77.9,72,0,134.2,3.43
789,82.4,81.5,2,0,-1,3.4
790,83.3,81.5,2,0,-1,3.4
791,83.3,82.4,2,0,-1,3.37
792,81.5,81.5,2,0,-1,3.37
793,79.7,79.7,2,0,-1,3.35
794,78.8,78.8,-1,0,-1,3.37
795,77.9,77.9,-1,0,-1,3.35
796,77,77,-1,0,-1,3.37
797,75.2,76.1,-1,0,-1,3.35
798,74.3,75.2,-1,0,-1,3.36
799,73.4,74.3,-1,0,-1,3.36
800,72.5,72.5,-1,0,-1,3.36
801,73.4,72.5,-1,0,-1,3.36
802,74.3,73.4,-1,0,-1,3.35
803,74.3,74.3,-1,0,-1,3.35
804,75.2,74.3,-1,0,-1,3.35
805,75.2,74.3,-1,0,-1,3.33
806,75.2,75.2,-1,0,-1,3.35
807,74.3,73.4,-1,0,-1,3.35
808,75.2,75.2,-1,0,-1,3.35
809,76.1,75.2,-1,0,-1,3.35
810,76.1,76.1,-1,0,-1,3.34
811,75.2,75.2,-1,0,-1,3.35
812,75.2,75.2,-1,0,-1,3.34
813,74.3,75.2,-1,0,-1,3.34
814,74.3,74.3,-1,0,-1,3.34
815,74.3,74.3,-1,0,-1,3.34
816,74.3,74.3,-1,0,-1,3.34
817,73.4,74.3,-1,0,-1,3.33
818,73.4,74.3,-1,0,-1,3.32
819,73.4,74.3,-1,0,-1,3.33
820,72.5,73.4,-1,0,-1,3.34
821,73.4,73.4,-1,0,-1,3.31
822,77,74.3,-1,0,-1,3.35
823,84.2,74.3,2,0,-1,3.34
824,91.4,75.2,3,0,5.96,3.38
825,97.7,75.2,4,0,6.66,3.36
826,105.8,76.1,4,0,7.63,3.37
827,112.1,76.1,4,0,7.96,3.4
828,115.7,77,4,0,8.23,3.41
829,104.9,76.1,3,0,5.91,3.42
830,88.7,76.1,-1,0,-1,3.41
831,94.1,77.9,2,0,-1,3.43
